"","col","meanImp","medianImp","minImp","maxImp","normHits","decision"
"54","sq_num1",7.31741176533074,7.66411511411929,4.91800659305142,10.5286323744262,1,"Confirmed"
"55","num7",7.19453007804356,7.54407166308688,4.76400778484631,8.3717321435429,1,"Confirmed"
"56","sq_num3",7.13389316106693,6.93977567176413,6.08917000131145,8.29708492066456,1,"Confirmed"
"57","num4_num3",7.09327039966797,7.16404947894699,4.39343464937308,9.71963585607622,1,"Confirmed"
"58","num31",7.08611688257621,6.95419840507016,4.14716665592223,9.18740904077345,1,"Confirmed"
"59","num6_num18",7.08229940392925,7.30161072719477,5.14476673946917,8.51735704291629,1,"Confirmed"
"60","num59",7.07090108151337,6.95035570340864,5.80177464209813,8.50300614428095,1,"Confirmed"
"61","num34",7.04112626259044,6.88824250209615,5.64680828054664,8.65263494221701,1,"Confirmed"
"62","num33",6.9970565431879,6.96617146964337,5.52200497060621,8.69745662113092,1,"Confirmed"
"63","num4",6.87223729602912,7.08088680506821,4.4075953938978,9.0280597374043,1,"Confirmed"
"64","num5_num3",6.84922400730961,6.94564197914698,5.46363656827586,7.97409579754815,1,"Confirmed"
"65","num21",6.7528412969286,6.82375761071408,4.56336510992142,8.18995192892422,1,"Confirmed"
"66","num58_num4",6.66364512365684,6.97886534392063,3.0592317738848,9.00438401282533,1,"Confirmed"
"67","num30",6.34369862720148,6.3865957554693,4.36266184482776,8.47756531928432,0.947368421052632,"Confirmed"
"68","num28",6.34362933208008,6.35097272442857,5.12252203912018,7.41706694277567,1,"Confirmed"
"69","num25",6.31024012576656,6.22813603517945,5.3017279663156,7.51494591646048,1,"Confirmed"
"70","num4_num18",6.19530256806785,5.70747473289886,4.59176942098565,8.45814090454245,1,"Confirmed"
"71","num5_num58",6.19196192452597,6.18687488923284,4.79315425267892,7.88076058332926,1,"Confirmed"
"72","sq_num23",6.15957749058932,6.34574456285889,2.78763540252803,7.77040589682587,0.947368421052632,"Confirmed"
"73","num6_num4",6.15793001814986,6.26997918268392,3.89443598998598,7.46726015023809,1,"Confirmed"
"74","num45",5.93883832189673,5.88382930280963,3.45491597746974,7.986265796713,1,"Confirmed"
"75","num49",5.91624067447872,5.77782702215677,3.82521598046277,7.43403226090979,1,"Confirmed"
"76","num5_num4",5.88436904886611,6.21407958391173,3.39558995010339,7.178629206402,1,"Confirmed"
"77","num6_num5",5.88170263839959,5.77610904754046,4.49653724327412,7.20112636895663,1,"Confirmed"
"78","num52",5.76776208394513,5.85251502987616,4.31552442326351,7.75108592058784,1,"Confirmed"
"79","sq_num4",5.76331313034935,5.8773287355104,3.47785728244918,7.32036946059447,1,"Confirmed"
"80","sq_num5",5.60717418564946,5.71471866845292,4.16132437009098,7.08052914011177,1,"Confirmed"
"81","num48",5.58094552168271,5.78273725125911,2.9663694552673,7.29346975323535,1,"Confirmed"
"82","num16",5.52457635161832,5.59245627620213,4.16080608633516,7.28306897517803,0.947368421052632,"Confirmed"
"83","num56",5.51525845387266,5.51524992563831,4.05084704056095,6.6409912074139,1,"Confirmed"
"84","num14",5.44575629781936,5.74132226187066,3.24163777545315,7.74077503911072,0.947368421052632,"Confirmed"
"85","num57",5.41384341500242,5.5175450320641,3.47941411035502,7.46266685615203,1,"Confirmed"
"86","num13",5.3505483223371,5.19498441403295,4.0063723793571,6.7031593223352,1,"Confirmed"
"87","num55",5.22008953338291,5.74331005642415,3.06861279663226,6.46037720706719,1,"Confirmed"
"88","num44",5.09489174153062,5.14041493574052,3.3244689717685,6.44275090813131,1,"Confirmed"
"89","num50",5.00932191395927,4.63591584931396,3.70260364714528,7.00990103883144,1,"Confirmed"
"90","num53",4.9499731562724,4.93415812102642,2.93111876760428,6.6303010064604,1,"Confirmed"
"91","num26",4.82558307883241,4.63216457483074,3.73066592607343,6.49470103111221,1,"Confirmed"
"92","num46",4.81111510432016,4.91990821012013,2.62464497827496,6.84680571264482,1,"Confirmed"
"93","num51",4.78210886758243,4.92170687369537,2.8854770837572,5.954648657678,0.947368421052632,"Confirmed"
"94","num54",4.59066190136416,4.51801682640881,2.00687563699307,6.88317197919327,0.894736842105263,"Confirmed"
"95","num40",4.20696738826112,4.17570885952509,2.81798287017255,5.33354814572415,0.894736842105263,"Confirmed"
"96","num47",4.1992826742726,4.05313033781369,2.44200666548955,6.40251069265897,0.894736842105263,"Confirmed"
"97","num27",3.97038681983334,3.88799855265083,2.07513918906382,5.4248803872662,0.842105263157895,"Confirmed"
"98","num12",3.95495987083181,3.96970076170918,2.41893465853885,5.26547832446153,0.894736842105263,"Confirmed"
"99","sq_num6",3.94262138861067,4.29026555721168,2.11929414465828,5.36939133098254,0.789473684210526,"Confirmed"
"100","num29",3.93253746572784,4.05409016549221,2.35530593345991,5.63317243677317,0.947368421052632,"Confirmed"
"101","num17",3.72659320079789,3.7703962195406,2.30394071031699,5.59244347141987,0.789473684210526,"Confirmed"
"102","num39",3.64236068772845,3.73476565084884,1.55312391595808,6.1463455029751,0.684210526315789,"Confirmed"
"103","num22",3.48225996189269,3.81795221814662,1.19203104008581,5.20463410230486,0.684210526315789,"Confirmed"
"104","num24",2.19960895632101,2.30342461779284,0.995417497982215,3.75283582363108,0.263157894736842,"Confirmed"
"105","cat6",1.64372735896774,1.70079737159492,0.869503656094731,2.06533528777032,0,"Rejected"
"106","cat12",0.82373426967505,1.18976193305663,-1.76993736427632,1.83174635193589,0,"Rejected"
"107","cat25",0.75657208303487,0.847104740228595,-0.988915358300174,2.14253284208219,0,"Rejected"
"108","cat3",0.659149892765015,0.902812375733527,-1.08754869560407,2.19808650442459,0.0526315789473684,"Rejected"
"109","cat5",0.538518590275689,0.76771735410456,-1.56317059277113,1.56779103824356,0,"Rejected"
"110","cat_sum",0.439237540600549,0.527237907147514,-1.2063018107049,2.04396711285272,0,"Rejected"
"111","cat7",0.358658006990928,0.225828725492748,-2.24058086078708,1.99287605575475,0,"Rejected"
"112","cat14",0.311043026069953,0.408891730708314,-1.11297017828162,1.38694286410193,0,"Rejected"
"113","cat2",0.306059996858503,0.553637897662348,-1.20996275454939,1.16036903569232,0,"Rejected"
"114","cat21",0.243467081055177,0.245276847219686,-1.65074604019187,1.6208870339514,0,"Rejected"
"115","cat4",0.2266508381508,0.30210670606634,-1.44036220684432,1.65609099288511,0,"Rejected"
"116","cat15",0.123171981656267,0.480156811778618,-2.00177913119039,1.63562749672379,0,"Rejected"
"117","imp_cat",0.0900108902587842,-0.222746984445719,-0.810216638879843,1.47699130444325,0,"Rejected"
"118","cat8",0.0791732288553758,0.135960545899921,-1.86944366829768,2.1864121849679,0,"Rejected"
